"LakeName","LakeID","PATH","ROW","PR","pct_coverage","acq_date","sat","OBJECTID","Permanent_","GNIS_Name"
"Indian Lake","IND",12,31,12031,100.000000000583,2022-10-10,"LS7",12449,"136214359","Indian Lake"
"Indian Lake","IND",12,31,12031,100.000000000583,2022-10-10,"LS9",12449,"136214359","Indian Lake"
"Yawgoo Pond","YAW",12,31,12031,99.9999999999924,2022-10-10,"LS7",19374,"136215443","Yawgoo Pond"
"Yawgoo Pond","YAW",12,31,12031,99.9999999999924,2022-10-10,"LS9",19374,"136215443","Yawgoo Pond"
"Barber Pond","BAR",12,31,12031,100.000000001411,2022-10-10,"LS7",22736,"136216759","Barber Pond"
"Barber Pond","BAR",12,31,12031,100.000000001411,2022-10-10,"LS9",22736,"136216759","Barber Pond"
"Great Pond","GRT",11,29,11029,99.9999999979775,2022-10-11,"LS8",12367,"152433086","Great Pond"
"Long Pond","LNG",11,29,11029,100.000000003977,2022-10-11,"LS8",29341,"{C4A423E4-F036-44DC-A8C3-BC919DFA0A2F}","Long Pond"
"Sabattus Pond","SAB",11,29,11029,100.00000001352,2022-10-11,"LS8",34684,"106454579","Custer Pond"
"China Lake","CHN",11,29,11029,100.000000000363,2022-10-11,"LS8",35119,"152433096","China Lake"
"Lake Murray","MUR",17,36,17036,100.000000009933,2022-10-13,"LS7",47651,"122336827","Lake Murray"
"Lake Murray","MUR",17,36,17036,100.000000009933,2022-10-13,"LS9",47651,"122336827","Lake Murray"
"Lake Wateree","WAT",17,36,17036,100.00000000055,2022-10-13,"LS7",95501,"130875175","Wateree Lake"
"Lake Wateree","WAT",17,36,17036,100.00000000055,2022-10-13,"LS9",95501,"130875175","Wateree Lake"
"Lake Wateree","WAT",16,36,16036,46.5722113901858,2022-10-14,"LS8",95501,"130875175","Wateree Lake"
"Lake Sunapee","SUN",13,30,13030,99.9999999998309,2022-10-17,"LS7",17927,"120804340","Sunapee Lake"
"Lake Sunapee","SUN",13,30,13030,99.9999999998309,2022-10-17,"LS9",17927,"120804340","Sunapee Lake"
"Lake Auburn","AUB",12,29,12029,100.000000000236,2022-10-18,"LS8",1384,"106454929","The Basin"
"Great Pond","GRT",12,29,12029,99.9999999979775,2022-10-18,"LS8",12367,"152433086","Great Pond"
"Panther Pond","PAN",12,29,12029,99.999999999662,2022-10-18,"LS8",27994,"132665760","Panther Pond"
"Panther Pond","PAN",12,30,12030,21.506625183882,2022-10-18,"LS8",27994,"132665760","Panther Pond"
"Long Pond","LNG",12,29,12029,100.000000003977,2022-10-18,"LS8",29341,"{C4A423E4-F036-44DC-A8C3-BC919DFA0A2F}","Long Pond"
"Sabattus Pond","SAB",12,29,12029,100.00000001352,2022-10-18,"LS8",34684,"106454579","Custer Pond"
"China Lake","CHN",12,29,12029,100.000000000363,2022-10-18,"LS8",35119,"152433096","China Lake"
"Indian Lake","IND",12,31,12031,100.000000000583,2022-10-18,"LS8",12449,"136214359","Indian Lake"
"Yawgoo Pond","YAW",12,31,12031,99.9999999999924,2022-10-18,"LS8",19374,"136215443","Yawgoo Pond"
"Barber Pond","BAR",12,31,12031,100.000000001411,2022-10-18,"LS8",22736,"136216759","Barber Pond"
"Great Pond","GRT",11,29,11029,99.9999999979775,2022-10-19,"LS7",12367,"152433086","Great Pond"
"Great Pond","GRT",11,29,11029,99.9999999979775,2022-10-19,"LS9",12367,"152433086","Great Pond"
"Long Pond","LNG",11,29,11029,100.000000003977,2022-10-19,"LS7",29341,"{C4A423E4-F036-44DC-A8C3-BC919DFA0A2F}","Long Pond"
"Long Pond","LNG",11,29,11029,100.000000003977,2022-10-19,"LS9",29341,"{C4A423E4-F036-44DC-A8C3-BC919DFA0A2F}","Long Pond"
"Sabattus Pond","SAB",11,29,11029,100.00000001352,2022-10-19,"LS7",34684,"106454579","Custer Pond"
"Sabattus Pond","SAB",11,29,11029,100.00000001352,2022-10-19,"LS9",34684,"106454579","Custer Pond"
"China Lake","CHN",11,29,11029,100.000000000363,2022-10-19,"LS7",35119,"152433096","China Lake"
"China Lake","CHN",11,29,11029,100.000000000363,2022-10-19,"LS9",35119,"152433096","China Lake"
"Lake Murray","MUR",17,36,17036,100.000000009933,2022-10-21,"LS8",47651,"122336827","Lake Murray"
"Lake Wateree","WAT",17,36,17036,100.00000000055,2022-10-21,"LS8",95501,"130875175","Wateree Lake"
"Lake Wateree","WAT",16,36,16036,46.5722113901858,2022-10-22,"LS7",95501,"130875175","Wateree Lake"
"Lake Wateree","WAT",16,36,16036,46.5722113901858,2022-10-22,"LS9",95501,"130875175","Wateree Lake"
"Lake Sunapee","SUN",13,30,13030,99.9999999998309,2022-10-25,"LS8",17927,"120804340","Sunapee Lake"
"Lake Auburn","AUB",12,29,12029,100.000000000236,2022-10-26,"LS7",1384,"106454929","The Basin"
"Lake Auburn","AUB",12,29,12029,100.000000000236,2022-10-26,"LS9",1384,"106454929","The Basin"
"Great Pond","GRT",12,29,12029,99.9999999979775,2022-10-26,"LS7",12367,"152433086","Great Pond"
"Great Pond","GRT",12,29,12029,99.9999999979775,2022-10-26,"LS9",12367,"152433086","Great Pond"
"Panther Pond","PAN",12,29,12029,99.999999999662,2022-10-26,"LS7",27994,"132665760","Panther Pond"
"Panther Pond","PAN",12,29,12029,99.999999999662,2022-10-26,"LS9",27994,"132665760","Panther Pond"
"Panther Pond","PAN",12,30,12030,21.506625183882,2022-10-26,"LS7",27994,"132665760","Panther Pond"
"Panther Pond","PAN",12,30,12030,21.506625183882,2022-10-26,"LS9",27994,"132665760","Panther Pond"
"Long Pond","LNG",12,29,12029,100.000000003977,2022-10-26,"LS7",29341,"{C4A423E4-F036-44DC-A8C3-BC919DFA0A2F}","Long Pond"
"Long Pond","LNG",12,29,12029,100.000000003977,2022-10-26,"LS9",29341,"{C4A423E4-F036-44DC-A8C3-BC919DFA0A2F}","Long Pond"
"Sabattus Pond","SAB",12,29,12029,100.00000001352,2022-10-26,"LS7",34684,"106454579","Custer Pond"
"Sabattus Pond","SAB",12,29,12029,100.00000001352,2022-10-26,"LS9",34684,"106454579","Custer Pond"
"China Lake","CHN",12,29,12029,100.000000000363,2022-10-26,"LS7",35119,"152433096","China Lake"
"China Lake","CHN",12,29,12029,100.000000000363,2022-10-26,"LS9",35119,"152433096","China Lake"
"Indian Lake","IND",12,31,12031,100.000000000583,2022-10-26,"LS7",12449,"136214359","Indian Lake"
"Indian Lake","IND",12,31,12031,100.000000000583,2022-10-26,"LS9",12449,"136214359","Indian Lake"
"Yawgoo Pond","YAW",12,31,12031,99.9999999999924,2022-10-26,"LS7",19374,"136215443","Yawgoo Pond"
"Yawgoo Pond","YAW",12,31,12031,99.9999999999924,2022-10-26,"LS9",19374,"136215443","Yawgoo Pond"
"Barber Pond","BAR",12,31,12031,100.000000001411,2022-10-26,"LS7",22736,"136216759","Barber Pond"
"Barber Pond","BAR",12,31,12031,100.000000001411,2022-10-26,"LS9",22736,"136216759","Barber Pond"
"Great Pond","GRT",11,29,11029,99.9999999979775,2022-10-27,"LS8",12367,"152433086","Great Pond"
"Long Pond","LNG",11,29,11029,100.000000003977,2022-10-27,"LS8",29341,"{C4A423E4-F036-44DC-A8C3-BC919DFA0A2F}","Long Pond"
"Sabattus Pond","SAB",11,29,11029,100.00000001352,2022-10-27,"LS8",34684,"106454579","Custer Pond"
"China Lake","CHN",11,29,11029,100.000000000363,2022-10-27,"LS8",35119,"152433096","China Lake"
"Lake Murray","MUR",17,36,17036,100.000000009933,2022-10-29,"LS7",47651,"122336827","Lake Murray"
"Lake Murray","MUR",17,36,17036,100.000000009933,2022-10-29,"LS9",47651,"122336827","Lake Murray"
"Lake Wateree","WAT",17,36,17036,100.00000000055,2022-10-29,"LS7",95501,"130875175","Wateree Lake"
"Lake Wateree","WAT",17,36,17036,100.00000000055,2022-10-29,"LS9",95501,"130875175","Wateree Lake"
"Lake Wateree","WAT",16,36,16036,46.5722113901858,2022-10-30,"LS8",95501,"130875175","Wateree Lake"
"Lake Sunapee","SUN",13,30,13030,99.9999999998309,2022-11-02,"LS7",17927,"120804340","Sunapee Lake"
"Lake Sunapee","SUN",13,30,13030,99.9999999998309,2022-11-02,"LS9",17927,"120804340","Sunapee Lake"
"Lake Auburn","AUB",12,29,12029,100.000000000236,2022-11-03,"LS8",1384,"106454929","The Basin"
"Great Pond","GRT",12,29,12029,99.9999999979775,2022-11-03,"LS8",12367,"152433086","Great Pond"
"Panther Pond","PAN",12,29,12029,99.999999999662,2022-11-03,"LS8",27994,"132665760","Panther Pond"
"Panther Pond","PAN",12,30,12030,21.506625183882,2022-11-03,"LS8",27994,"132665760","Panther Pond"
"Long Pond","LNG",12,29,12029,100.000000003977,2022-11-03,"LS8",29341,"{C4A423E4-F036-44DC-A8C3-BC919DFA0A2F}","Long Pond"
"Sabattus Pond","SAB",12,29,12029,100.00000001352,2022-11-03,"LS8",34684,"106454579","Custer Pond"
"China Lake","CHN",12,29,12029,100.000000000363,2022-11-03,"LS8",35119,"152433096","China Lake"
"Indian Lake","IND",12,31,12031,100.000000000583,2022-11-03,"LS8",12449,"136214359","Indian Lake"
"Yawgoo Pond","YAW",12,31,12031,99.9999999999924,2022-11-03,"LS8",19374,"136215443","Yawgoo Pond"
"Barber Pond","BAR",12,31,12031,100.000000001411,2022-11-03,"LS8",22736,"136216759","Barber Pond"
"Great Pond","GRT",11,29,11029,99.9999999979775,2022-11-04,"LS7",12367,"152433086","Great Pond"
"Great Pond","GRT",11,29,11029,99.9999999979775,2022-11-04,"LS9",12367,"152433086","Great Pond"
"Long Pond","LNG",11,29,11029,100.000000003977,2022-11-04,"LS7",29341,"{C4A423E4-F036-44DC-A8C3-BC919DFA0A2F}","Long Pond"
"Long Pond","LNG",11,29,11029,100.000000003977,2022-11-04,"LS9",29341,"{C4A423E4-F036-44DC-A8C3-BC919DFA0A2F}","Long Pond"
"Sabattus Pond","SAB",11,29,11029,100.00000001352,2022-11-04,"LS7",34684,"106454579","Custer Pond"
"Sabattus Pond","SAB",11,29,11029,100.00000001352,2022-11-04,"LS9",34684,"106454579","Custer Pond"
"China Lake","CHN",11,29,11029,100.000000000363,2022-11-04,"LS7",35119,"152433096","China Lake"
"China Lake","CHN",11,29,11029,100.000000000363,2022-11-04,"LS9",35119,"152433096","China Lake"
"Lake Murray","MUR",17,36,17036,100.000000009933,2022-11-06,"LS8",47651,"122336827","Lake Murray"
"Lake Wateree","WAT",17,36,17036,100.00000000055,2022-11-06,"LS8",95501,"130875175","Wateree Lake"
"Lake Wateree","WAT",16,36,16036,46.5722113901858,2022-11-07,"LS7",95501,"130875175","Wateree Lake"
"Lake Wateree","WAT",16,36,16036,46.5722113901858,2022-11-07,"LS9",95501,"130875175","Wateree Lake"
"Lake Sunapee","SUN",13,30,13030,99.9999999998309,2022-11-10,"LS8",17927,"120804340","Sunapee Lake"
"Lake Auburn","AUB",12,29,12029,100.000000000236,2022-11-11,"LS7",1384,"106454929","The Basin"
"Lake Auburn","AUB",12,29,12029,100.000000000236,2022-11-11,"LS9",1384,"106454929","The Basin"
"Great Pond","GRT",12,29,12029,99.9999999979775,2022-11-11,"LS7",12367,"152433086","Great Pond"
"Great Pond","GRT",12,29,12029,99.9999999979775,2022-11-11,"LS9",12367,"152433086","Great Pond"
"Panther Pond","PAN",12,29,12029,99.999999999662,2022-11-11,"LS7",27994,"132665760","Panther Pond"
"Panther Pond","PAN",12,29,12029,99.999999999662,2022-11-11,"LS9",27994,"132665760","Panther Pond"
"Panther Pond","PAN",12,30,12030,21.506625183882,2022-11-11,"LS7",27994,"132665760","Panther Pond"
"Panther Pond","PAN",12,30,12030,21.506625183882,2022-11-11,"LS9",27994,"132665760","Panther Pond"
"Long Pond","LNG",12,29,12029,100.000000003977,2022-11-11,"LS7",29341,"{C4A423E4-F036-44DC-A8C3-BC919DFA0A2F}","Long Pond"
"Long Pond","LNG",12,29,12029,100.000000003977,2022-11-11,"LS9",29341,"{C4A423E4-F036-44DC-A8C3-BC919DFA0A2F}","Long Pond"
"Sabattus Pond","SAB",12,29,12029,100.00000001352,2022-11-11,"LS7",34684,"106454579","Custer Pond"
"Sabattus Pond","SAB",12,29,12029,100.00000001352,2022-11-11,"LS9",34684,"106454579","Custer Pond"
"China Lake","CHN",12,29,12029,100.000000000363,2022-11-11,"LS7",35119,"152433096","China Lake"
"China Lake","CHN",12,29,12029,100.000000000363,2022-11-11,"LS9",35119,"152433096","China Lake"
"Indian Lake","IND",12,31,12031,100.000000000583,2022-11-11,"LS7",12449,"136214359","Indian Lake"
"Indian Lake","IND",12,31,12031,100.000000000583,2022-11-11,"LS9",12449,"136214359","Indian Lake"
"Yawgoo Pond","YAW",12,31,12031,99.9999999999924,2022-11-11,"LS7",19374,"136215443","Yawgoo Pond"
"Yawgoo Pond","YAW",12,31,12031,99.9999999999924,2022-11-11,"LS9",19374,"136215443","Yawgoo Pond"
"Barber Pond","BAR",12,31,12031,100.000000001411,2022-11-11,"LS7",22736,"136216759","Barber Pond"
"Barber Pond","BAR",12,31,12031,100.000000001411,2022-11-11,"LS9",22736,"136216759","Barber Pond"
"Great Pond","GRT",11,29,11029,99.9999999979775,2022-11-12,"LS8",12367,"152433086","Great Pond"
"Long Pond","LNG",11,29,11029,100.000000003977,2022-11-12,"LS8",29341,"{C4A423E4-F036-44DC-A8C3-BC919DFA0A2F}","Long Pond"
"Sabattus Pond","SAB",11,29,11029,100.00000001352,2022-11-12,"LS8",34684,"106454579","Custer Pond"
"China Lake","CHN",11,29,11029,100.000000000363,2022-11-12,"LS8",35119,"152433096","China Lake"
"Lake Murray","MUR",17,36,17036,100.000000009933,2022-11-14,"LS7",47651,"122336827","Lake Murray"
"Lake Murray","MUR",17,36,17036,100.000000009933,2022-11-14,"LS9",47651,"122336827","Lake Murray"
"Lake Wateree","WAT",17,36,17036,100.00000000055,2022-11-14,"LS7",95501,"130875175","Wateree Lake"
"Lake Wateree","WAT",17,36,17036,100.00000000055,2022-11-14,"LS9",95501,"130875175","Wateree Lake"
"Lake Wateree","WAT",16,36,16036,46.5722113901858,2022-11-15,"LS8",95501,"130875175","Wateree Lake"
"Lake Sunapee","SUN",13,30,13030,99.9999999998309,2022-11-18,"LS7",17927,"120804340","Sunapee Lake"
"Lake Sunapee","SUN",13,30,13030,99.9999999998309,2022-11-18,"LS9",17927,"120804340","Sunapee Lake"
"Lake Auburn","AUB",12,29,12029,100.000000000236,2022-11-19,"LS8",1384,"106454929","The Basin"
"Great Pond","GRT",12,29,12029,99.9999999979775,2022-11-19,"LS8",12367,"152433086","Great Pond"
"Panther Pond","PAN",12,29,12029,99.999999999662,2022-11-19,"LS8",27994,"132665760","Panther Pond"
"Panther Pond","PAN",12,30,12030,21.506625183882,2022-11-19,"LS8",27994,"132665760","Panther Pond"
"Long Pond","LNG",12,29,12029,100.000000003977,2022-11-19,"LS8",29341,"{C4A423E4-F036-44DC-A8C3-BC919DFA0A2F}","Long Pond"
"Sabattus Pond","SAB",12,29,12029,100.00000001352,2022-11-19,"LS8",34684,"106454579","Custer Pond"
"China Lake","CHN",12,29,12029,100.000000000363,2022-11-19,"LS8",35119,"152433096","China Lake"
"Indian Lake","IND",12,31,12031,100.000000000583,2022-11-19,"LS8",12449,"136214359","Indian Lake"
"Yawgoo Pond","YAW",12,31,12031,99.9999999999924,2022-11-19,"LS8",19374,"136215443","Yawgoo Pond"
"Barber Pond","BAR",12,31,12031,100.000000001411,2022-11-19,"LS8",22736,"136216759","Barber Pond"
"Great Pond","GRT",11,29,11029,99.9999999979775,2022-11-20,"LS7",12367,"152433086","Great Pond"
"Great Pond","GRT",11,29,11029,99.9999999979775,2022-11-20,"LS9",12367,"152433086","Great Pond"
"Long Pond","LNG",11,29,11029,100.000000003977,2022-11-20,"LS7",29341,"{C4A423E4-F036-44DC-A8C3-BC919DFA0A2F}","Long Pond"
"Long Pond","LNG",11,29,11029,100.000000003977,2022-11-20,"LS9",29341,"{C4A423E4-F036-44DC-A8C3-BC919DFA0A2F}","Long Pond"
"Sabattus Pond","SAB",11,29,11029,100.00000001352,2022-11-20,"LS7",34684,"106454579","Custer Pond"
"Sabattus Pond","SAB",11,29,11029,100.00000001352,2022-11-20,"LS9",34684,"106454579","Custer Pond"
"China Lake","CHN",11,29,11029,100.000000000363,2022-11-20,"LS7",35119,"152433096","China Lake"
"China Lake","CHN",11,29,11029,100.000000000363,2022-11-20,"LS9",35119,"152433096","China Lake"
"Lake Murray","MUR",17,36,17036,100.000000009933,2022-11-22,"LS8",47651,"122336827","Lake Murray"
"Lake Wateree","WAT",17,36,17036,100.00000000055,2022-11-22,"LS8",95501,"130875175","Wateree Lake"
"Lake Wateree","WAT",16,36,16036,46.5722113901858,2022-11-23,"LS7",95501,"130875175","Wateree Lake"
"Lake Wateree","WAT",16,36,16036,46.5722113901858,2022-11-23,"LS9",95501,"130875175","Wateree Lake"
"Lake Sunapee","SUN",13,30,13030,99.9999999998309,2022-11-26,"LS8",17927,"120804340","Sunapee Lake"
"Lake Auburn","AUB",12,29,12029,100.000000000236,2022-11-27,"LS7",1384,"106454929","The Basin"
"Lake Auburn","AUB",12,29,12029,100.000000000236,2022-11-27,"LS9",1384,"106454929","The Basin"
"Great Pond","GRT",12,29,12029,99.9999999979775,2022-11-27,"LS7",12367,"152433086","Great Pond"
"Great Pond","GRT",12,29,12029,99.9999999979775,2022-11-27,"LS9",12367,"152433086","Great Pond"
"Panther Pond","PAN",12,29,12029,99.999999999662,2022-11-27,"LS7",27994,"132665760","Panther Pond"
"Panther Pond","PAN",12,29,12029,99.999999999662,2022-11-27,"LS9",27994,"132665760","Panther Pond"
"Panther Pond","PAN",12,30,12030,21.506625183882,2022-11-27,"LS7",27994,"132665760","Panther Pond"
"Panther Pond","PAN",12,30,12030,21.506625183882,2022-11-27,"LS9",27994,"132665760","Panther Pond"
"Long Pond","LNG",12,29,12029,100.000000003977,2022-11-27,"LS7",29341,"{C4A423E4-F036-44DC-A8C3-BC919DFA0A2F}","Long Pond"
"Long Pond","LNG",12,29,12029,100.000000003977,2022-11-27,"LS9",29341,"{C4A423E4-F036-44DC-A8C3-BC919DFA0A2F}","Long Pond"
"Sabattus Pond","SAB",12,29,12029,100.00000001352,2022-11-27,"LS7",34684,"106454579","Custer Pond"
"Sabattus Pond","SAB",12,29,12029,100.00000001352,2022-11-27,"LS9",34684,"106454579","Custer Pond"
"China Lake","CHN",12,29,12029,100.000000000363,2022-11-27,"LS7",35119,"152433096","China Lake"
"China Lake","CHN",12,29,12029,100.000000000363,2022-11-27,"LS9",35119,"152433096","China Lake"
"Indian Lake","IND",12,31,12031,100.000000000583,2022-11-27,"LS7",12449,"136214359","Indian Lake"
"Indian Lake","IND",12,31,12031,100.000000000583,2022-11-27,"LS9",12449,"136214359","Indian Lake"
"Yawgoo Pond","YAW",12,31,12031,99.9999999999924,2022-11-27,"LS7",19374,"136215443","Yawgoo Pond"
"Yawgoo Pond","YAW",12,31,12031,99.9999999999924,2022-11-27,"LS9",19374,"136215443","Yawgoo Pond"
"Barber Pond","BAR",12,31,12031,100.000000001411,2022-11-27,"LS7",22736,"136216759","Barber Pond"
"Barber Pond","BAR",12,31,12031,100.000000001411,2022-11-27,"LS9",22736,"136216759","Barber Pond"
"Great Pond","GRT",11,29,11029,99.9999999979775,2022-11-28,"LS8",12367,"152433086","Great Pond"
"Long Pond","LNG",11,29,11029,100.000000003977,2022-11-28,"LS8",29341,"{C4A423E4-F036-44DC-A8C3-BC919DFA0A2F}","Long Pond"
"Sabattus Pond","SAB",11,29,11029,100.00000001352,2022-11-28,"LS8",34684,"106454579","Custer Pond"
"China Lake","CHN",11,29,11029,100.000000000363,2022-11-28,"LS8",35119,"152433096","China Lake"
"Lake Murray","MUR",17,36,17036,100.000000009933,2022-11-30,"LS7",47651,"122336827","Lake Murray"
"Lake Murray","MUR",17,36,17036,100.000000009933,2022-11-30,"LS9",47651,"122336827","Lake Murray"
"Lake Wateree","WAT",17,36,17036,100.00000000055,2022-11-30,"LS7",95501,"130875175","Wateree Lake"
"Lake Wateree","WAT",17,36,17036,100.00000000055,2022-11-30,"LS9",95501,"130875175","Wateree Lake"
"Lake Wateree","WAT",16,36,16036,46.5722113901858,2022-12-01,"LS8",95501,"130875175","Wateree Lake"
"Lake Sunapee","SUN",13,30,13030,99.9999999998309,2022-12-04,"LS7",17927,"120804340","Sunapee Lake"
"Lake Sunapee","SUN",13,30,13030,99.9999999998309,2022-12-04,"LS9",17927,"120804340","Sunapee Lake"
"Lake Auburn","AUB",12,29,12029,100.000000000236,2022-12-05,"LS8",1384,"106454929","The Basin"
"Great Pond","GRT",12,29,12029,99.9999999979775,2022-12-05,"LS8",12367,"152433086","Great Pond"
"Panther Pond","PAN",12,29,12029,99.999999999662,2022-12-05,"LS8",27994,"132665760","Panther Pond"
"Panther Pond","PAN",12,30,12030,21.506625183882,2022-12-05,"LS8",27994,"132665760","Panther Pond"
"Long Pond","LNG",12,29,12029,100.000000003977,2022-12-05,"LS8",29341,"{C4A423E4-F036-44DC-A8C3-BC919DFA0A2F}","Long Pond"
"Sabattus Pond","SAB",12,29,12029,100.00000001352,2022-12-05,"LS8",34684,"106454579","Custer Pond"
"China Lake","CHN",12,29,12029,100.000000000363,2022-12-05,"LS8",35119,"152433096","China Lake"
"Indian Lake","IND",12,31,12031,100.000000000583,2022-12-05,"LS8",12449,"136214359","Indian Lake"
"Yawgoo Pond","YAW",12,31,12031,99.9999999999924,2022-12-05,"LS8",19374,"136215443","Yawgoo Pond"
"Barber Pond","BAR",12,31,12031,100.000000001411,2022-12-05,"LS8",22736,"136216759","Barber Pond"
"Great Pond","GRT",11,29,11029,99.9999999979775,2022-12-06,"LS7",12367,"152433086","Great Pond"
"Great Pond","GRT",11,29,11029,99.9999999979775,2022-12-06,"LS9",12367,"152433086","Great Pond"
"Long Pond","LNG",11,29,11029,100.000000003977,2022-12-06,"LS7",29341,"{C4A423E4-F036-44DC-A8C3-BC919DFA0A2F}","Long Pond"
"Long Pond","LNG",11,29,11029,100.000000003977,2022-12-06,"LS9",29341,"{C4A423E4-F036-44DC-A8C3-BC919DFA0A2F}","Long Pond"
"Sabattus Pond","SAB",11,29,11029,100.00000001352,2022-12-06,"LS7",34684,"106454579","Custer Pond"
"Sabattus Pond","SAB",11,29,11029,100.00000001352,2022-12-06,"LS9",34684,"106454579","Custer Pond"
"China Lake","CHN",11,29,11029,100.000000000363,2022-12-06,"LS7",35119,"152433096","China Lake"
"China Lake","CHN",11,29,11029,100.000000000363,2022-12-06,"LS9",35119,"152433096","China Lake"
"Lake Murray","MUR",17,36,17036,100.000000009933,2022-12-08,"LS8",47651,"122336827","Lake Murray"
"Lake Wateree","WAT",17,36,17036,100.00000000055,2022-12-08,"LS8",95501,"130875175","Wateree Lake"
"Lake Wateree","WAT",16,36,16036,46.5722113901858,2022-12-09,"LS7",95501,"130875175","Wateree Lake"
"Lake Wateree","WAT",16,36,16036,46.5722113901858,2022-12-09,"LS9",95501,"130875175","Wateree Lake"
"Lake Sunapee","SUN",13,30,13030,99.9999999998309,2022-12-12,"LS8",17927,"120804340","Sunapee Lake"
"Lake Auburn","AUB",12,29,12029,100.000000000236,2022-12-13,"LS7",1384,"106454929","The Basin"
"Lake Auburn","AUB",12,29,12029,100.000000000236,2022-12-13,"LS9",1384,"106454929","The Basin"
"Great Pond","GRT",12,29,12029,99.9999999979775,2022-12-13,"LS7",12367,"152433086","Great Pond"
"Great Pond","GRT",12,29,12029,99.9999999979775,2022-12-13,"LS9",12367,"152433086","Great Pond"
"Panther Pond","PAN",12,29,12029,99.999999999662,2022-12-13,"LS7",27994,"132665760","Panther Pond"
"Panther Pond","PAN",12,29,12029,99.999999999662,2022-12-13,"LS9",27994,"132665760","Panther Pond"
"Panther Pond","PAN",12,30,12030,21.506625183882,2022-12-13,"LS7",27994,"132665760","Panther Pond"
"Panther Pond","PAN",12,30,12030,21.506625183882,2022-12-13,"LS9",27994,"132665760","Panther Pond"
"Long Pond","LNG",12,29,12029,100.000000003977,2022-12-13,"LS7",29341,"{C4A423E4-F036-44DC-A8C3-BC919DFA0A2F}","Long Pond"
"Long Pond","LNG",12,29,12029,100.000000003977,2022-12-13,"LS9",29341,"{C4A423E4-F036-44DC-A8C3-BC919DFA0A2F}","Long Pond"
"Sabattus Pond","SAB",12,29,12029,100.00000001352,2022-12-13,"LS7",34684,"106454579","Custer Pond"
"Sabattus Pond","SAB",12,29,12029,100.00000001352,2022-12-13,"LS9",34684,"106454579","Custer Pond"
"China Lake","CHN",12,29,12029,100.000000000363,2022-12-13,"LS7",35119,"152433096","China Lake"
"China Lake","CHN",12,29,12029,100.000000000363,2022-12-13,"LS9",35119,"152433096","China Lake"
"Indian Lake","IND",12,31,12031,100.000000000583,2022-12-13,"LS7",12449,"136214359","Indian Lake"
"Indian Lake","IND",12,31,12031,100.000000000583,2022-12-13,"LS9",12449,"136214359","Indian Lake"
"Yawgoo Pond","YAW",12,31,12031,99.9999999999924,2022-12-13,"LS7",19374,"136215443","Yawgoo Pond"
"Yawgoo Pond","YAW",12,31,12031,99.9999999999924,2022-12-13,"LS9",19374,"136215443","Yawgoo Pond"
"Barber Pond","BAR",12,31,12031,100.000000001411,2022-12-13,"LS7",22736,"136216759","Barber Pond"
"Barber Pond","BAR",12,31,12031,100.000000001411,2022-12-13,"LS9",22736,"136216759","Barber Pond"
"Great Pond","GRT",11,29,11029,99.9999999979775,2022-12-14,"LS8",12367,"152433086","Great Pond"
"Long Pond","LNG",11,29,11029,100.000000003977,2022-12-14,"LS8",29341,"{C4A423E4-F036-44DC-A8C3-BC919DFA0A2F}","Long Pond"
"Sabattus Pond","SAB",11,29,11029,100.00000001352,2022-12-14,"LS8",34684,"106454579","Custer Pond"
"China Lake","CHN",11,29,11029,100.000000000363,2022-12-14,"LS8",35119,"152433096","China Lake"
"Lake Murray","MUR",17,36,17036,100.000000009933,2022-12-16,"LS7",47651,"122336827","Lake Murray"
"Lake Murray","MUR",17,36,17036,100.000000009933,2022-12-16,"LS9",47651,"122336827","Lake Murray"
"Lake Wateree","WAT",17,36,17036,100.00000000055,2022-12-16,"LS7",95501,"130875175","Wateree Lake"
"Lake Wateree","WAT",17,36,17036,100.00000000055,2022-12-16,"LS9",95501,"130875175","Wateree Lake"
"Lake Wateree","WAT",16,36,16036,46.5722113901858,2022-12-17,"LS8",95501,"130875175","Wateree Lake"
"Lake Sunapee","SUN",13,30,13030,99.9999999998309,2022-12-20,"LS7",17927,"120804340","Sunapee Lake"
"Lake Sunapee","SUN",13,30,13030,99.9999999998309,2022-12-20,"LS9",17927,"120804340","Sunapee Lake"
"Lake Auburn","AUB",12,29,12029,100.000000000236,2022-12-21,"LS8",1384,"106454929","The Basin"
"Great Pond","GRT",12,29,12029,99.9999999979775,2022-12-21,"LS8",12367,"152433086","Great Pond"
"Panther Pond","PAN",12,29,12029,99.999999999662,2022-12-21,"LS8",27994,"132665760","Panther Pond"
"Panther Pond","PAN",12,30,12030,21.506625183882,2022-12-21,"LS8",27994,"132665760","Panther Pond"
"Long Pond","LNG",12,29,12029,100.000000003977,2022-12-21,"LS8",29341,"{C4A423E4-F036-44DC-A8C3-BC919DFA0A2F}","Long Pond"
"Sabattus Pond","SAB",12,29,12029,100.00000001352,2022-12-21,"LS8",34684,"106454579","Custer Pond"
"China Lake","CHN",12,29,12029,100.000000000363,2022-12-21,"LS8",35119,"152433096","China Lake"
"Indian Lake","IND",12,31,12031,100.000000000583,2022-12-21,"LS8",12449,"136214359","Indian Lake"
"Yawgoo Pond","YAW",12,31,12031,99.9999999999924,2022-12-21,"LS8",19374,"136215443","Yawgoo Pond"
"Barber Pond","BAR",12,31,12031,100.000000001411,2022-12-21,"LS8",22736,"136216759","Barber Pond"
